groupID,overall_post,overall_feedback,student_reply,over_parameter4,student_post,group_size,course_id
1,4,7,1,1,2,5,CS001
2,15,10,4,1,4,5,CS001
3,13,40,2,1,3,5,CS001
4,104,161,4,1,4,5,CS001
5,11,24,4,0,4,5,CS001
6,2,2,1,0,2,5,CS001
7,11,8,3,1,3,5,CS001
8,4,4,2,1,2,5,CS001
9,11,15,4,1,4,5,CS001
10,36,32,5,0,5,5,CS001
11,39,61,3,0,3,5,CS001
12,10,10,2,1,2,5,CS001
13,0,0,0,0,0,5,CS001
14,12,12,1,1,2,5,CS001
16,0,0,0,0,0,5,CS001
17,21,23,2,1,2,5,CS001
18,2,2,1,0,2,5,CS001
19,1,0,0,1,1,5,CS001
